Policy Area,Dataset,Variable,Year,Amount,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Employment & Income,Income,Median Household Income,2011,"50,410","Census Tract 5006, Los Angeles County, California",500600,Pico Rivera,1400000US06037500600,"(34.0076875, -118.088568)",Median_Household_Income_2011_1400000US06037500600,01/01/2011
Employment & Income,Income,Median Household Income,2015,"64,908","Census Tract 4310.01, Los Angeles County, California",431001,Monrovia,1400000US06037431001,"(34.148164, -118.0057195)",Median_Household_Income_2015_1400000US06037431001,01/01/2015
Employment & Income,Income,Median Household Income,2016,"91,152","Census Tract 5741, Los Angeles County, California",574100,Long Beach,1400000US06037574100,"(33.814659, -118.1216115)",Median_Household_Income_2016_1400000US06037574100,01/01/2016
Employment & Income,Income,Median Household Income,2014,"57,344","Census Tract 1314, Los Angeles County, California",131400,Reseda,1400000US06037131400,"(34.214622, -118.531704)",Median_Household_Income_2014_1400000US06037131400,01/01/2014
Employment & Income,Income,Median Household Income,2011,"31,333","Census Tract 9800.14, Los Angeles County, California",980014,Wilmington,1400000US06037980014,"(33.7950245, -118.240815)",Median_Household_Income_2011_1400000US06037980014,01/01/2011
Employment & Income,Income,Median Household Income,2011,"30,900","Census Tract 5754.02, Los Angeles County, California",575402,Long Beach,1400000US06037575402,"(33.786223, -118.1915435)",Median_Household_Income_2011_1400000US06037575402,01/01/2011
Employment & Income,Income,Median Household Income,2016,"61,848","Census Tract 4010.02, Los Angeles County, California",401002,Glendora,1400000US06037401002,"(34.141501, -117.8659045)",Median_Household_Income_2016_1400000US06037401002,01/01/2016
Employment & Income,Income,Median Household Income,2012,"30,875","Census Tract 2213.03, Los Angeles County, California",221303,Harvard Heights,1400000US06037221303,"(34.0453825, -118.308407)",Median_Household_Income_2012_1400000US06037221303,01/01/2012
Employment & Income,Income,Median Household Income,2012,"30,154","Census Tract 1990, Los Angeles County, California",199000,Lincoln Heights,1400000US06037199000,"(34.081284, -118.21934)",Median_Household_Income_2012_1400000US06037199000,01/01/2012
Employment & Income,Income,Median Household Income,2010,"65,880","Census Tract 4636.01, Los Angeles County, California",463601,Pasadena,1400000US06037463601,"(34.140861, -118.1368515)",Median_Household_Income_2010_1400000US06037463601,01/01/2010
Employment & Income,Income,Median Household Income,2015,"34,146","Census Tract 2125.01, Los Angeles County, California",212501,Koreatown,1400000US06037212501,"(34.0560675, -118.305364)",Median_Household_Income_2015_1400000US06037212501,01/01/2015
Employment & Income,Income,Median Household Income,2010,"37,778","Census Tract 5327, Los Angeles County, California",532700,Florence-Firestone,1400000US06037532700,"(33.9849455, -118.2418305)",Median_Household_Income_2010_1400000US06037532700,01/01/2010
Employment & Income,Income,Median Household Income,2015,"126,267","Census Tract 8003.24, Los Angeles County, California",800324,Agoura Hills,1400000US06037800324,"(34.150914, -118.780558)",Median_Household_Income_2015_1400000US06037800324,01/01/2015
Employment & Income,Income,Median Household Income,2016,"69,395","Census Tract 1113.02, Los Angeles County, California",111302,Northridge,1400000US06037111302,"(34.2539425, -118.512829)",Median_Household_Income_2016_1400000US06037111302,01/01/2016
Employment & Income,Income,Median Household Income,2012,"64,421","Census Tract 5772, Los Angeles County, California",577200,Long Beach,1400000US06037577200,"(33.76191605, -118.1491539)",Median_Household_Income_2012_1400000US06037577200,01/01/2012
Employment & Income,Income,Median Household Income,2014,"28,038","Census Tract 2284.20, Los Angeles County, California",228420,Historic South-Central,1400000US06037228420,"(34.00749, -118.270975)",Median_Household_Income_2014_1400000US06037228420,01/01/2014
Employment & Income,Income,Median Household Income,2013,"46,742","Census Tract 4811.01, Los Angeles County, California",481101,San Gabriel,1400000US06037481101,"(34.098345, -118.106683)",Median_Household_Income_2013_1400000US06037481101,01/01/2013
Employment & Income,Income,Median Household Income,2012,"133,132","Census Tract 6706.02, Los Angeles County, California",670602,Rancho Palos Verdes,1400000US06037670602,"(33.74274308, -118.3714756)",Median_Household_Income_2012_1400000US06037670602,01/01/2012
Employment & Income,Income,Median Household Income,2011,"40,571","Census Tract 9105.04, Los Angeles County, California",910504,Palmdale,1400000US06037910504,"(34.568302, -118.105125)",Median_Household_Income_2011_1400000US06037910504,01/01/2011
Employment & Income,Income,Median Household Income,2015,"60,375","Census Tract 5990, Los Angeles County, California",599000,Avalon,1400000US06037599000,"(33.343563, -118.3300478)",Median_Household_Income_2015_1400000US06037599000,01/01/2015
Employment & Income,Income,Median Household Income,2010,"70,313","Census Tract 3102.01, Los Angeles County, California",310201,Burbank,1400000US06037310201,"(34.1922185, -118.304543)",Median_Household_Income_2010_1400000US06037310201,01/01/2010
Employment & Income,Income,Median Household Income,2016,"53,056","Census Tract 5361.02, Los Angeles County, California",536102,South Gate,1400000US06037536102,"(33.9417295, -118.1663085)",Median_Household_Income_2016_1400000US06037536102,01/01/2016
Employment & Income,Income,Median Household Income,2012,"31,591","Census Tract 1994, Los Angeles County, California",199400,Montecito Heights,1400000US06037199400,"(34.0875695, -118.209014)",Median_Household_Income_2012_1400000US06037199400,01/01/2012
Employment & Income,Income,Median Household Income,2010,"67,268","Census Tract 6500.04, Los Angeles County, California",650004,Torrance,1400000US06037650004,"(33.8778065, -118.3307945)",Median_Household_Income_2010_1400000US06037650004,01/01/2010
Employment & Income,Income,Median Household Income,2013,"67,353","Census Tract 1198, Los Angeles County, California",119800,Arleta,1400000US06037119800,"(34.2337665, -118.429943)",Median_Household_Income_2013_1400000US06037119800,01/01/2013
Employment & Income,Income,Median Household Income,2014,"45,282","Census Tract 5535.04, Los Angeles County, California",553504,Downey,1400000US06037553504,"(33.907683, -118.153012)",Median_Household_Income_2014_1400000US06037553504,01/01/2014
Employment & Income,Income,Median Household Income,2010,"21,524","Census Tract 2962.10, Los Angeles County, California",296210,San Pedro,1400000US06037296210,"(33.748135, -118.283727)",Median_Household_Income_2010_1400000US06037296210,01/01/2010
Employment & Income,Income,Median Household Income,2012,"38,060","Census Tract 5754.01, Los Angeles County, California",575401,Long Beach,1400000US06037575401,"(33.7863985, -118.199662)",Median_Household_Income_2012_1400000US06037575401,01/01/2012
Employment & Income,Income,Median Household Income,2016,"45,960","Census Tract 9104.04, Los Angeles County, California",910404,Palmdale,1400000US06037910404,"(34.565246, -118.1241)",Median_Household_Income_2016_1400000US06037910404,01/01/2016
Employment & Income,Income,Median Household Income,2010,"50,331","Census Tract 5025, Los Angeles County, California",502500,Pico Rivera,1400000US06037502500,"(33.976373, -118.1099205)",Median_Household_Income_2010_1400000US06037502500,01/01/2010
Employment & Income,Income,Median Household Income,2010,"42,126","Census Tract 2933.04, Los Angeles County, California",293304,Harbor City,1400000US06037293304,"(33.792616, -118.3043215)",Median_Household_Income_2010_1400000US06037293304,01/01/2010
Employment & Income,Income,Median Household Income,2011,"100,694","Census Tract 9108.10, Los Angeles County, California",910810,Castaic Canyons,1400000US06037910810,"(34.45705, -118.360889)",Median_Household_Income_2011_1400000US06037910810,01/01/2011
Employment & Income,Income,Median Household Income,2014,"60,552","Census Tract 5031.06, Los Angeles County, California",503106,South Whittier,1400000US06037503106,"(33.922533, -118.0218275)",Median_Household_Income_2014_1400000US06037503106,01/01/2014
Employment & Income,Income,Median Household Income,2016,"65,772","Census Tract 4314, Los Angeles County, California",431400,Mayflower Village,1400000US06037431400,"(34.111617, -118.0087095)",Median_Household_Income_2016_1400000US06037431400,01/01/2016
Employment & Income,Income,Median Household Income,2016,"45,682","Census Tract 6024.04, Los Angeles County, California",602404,Hawthorne,1400000US06037602404,"(33.905511, -118.3481055)",Median_Household_Income_2016_1400000US06037602404,01/01/2016
Employment & Income,Income,Median Household Income,2013,"164,714","Census Tract 6203.01, Los Angeles County, California",620301,Manhattan Beach,1400000US06037620301,"(33.897189, -118.4043155)",Median_Household_Income_2013_1400000US06037620301,01/01/2013
Employment & Income,Income,Median Household Income,2015,"65,490","Census Tract 4070.01, Los Angeles County, California",407001,West Puente Valley,1400000US06037407001,"(34.060681, -117.978103)",Median_Household_Income_2015_1400000US06037407001,01/01/2015
Employment & Income,Income,Median Household Income,2015,"108,125","Census Tract 2679.02, Los Angeles County, California",267902,West Los Angeles,1400000US06037267902,"(34.047558, -118.4201495)",Median_Household_Income_2015_1400000US06037267902,01/01/2015
Employment & Income,Income,Median Household Income,2011,"42,622","Census Tract 3203, Los Angeles County, California",320300,San Fernando,1400000US06037320300,"(34.2823865, -118.44586)",Median_Household_Income_2011_1400000US06037320300,01/01/2011
Employment & Income,Income,Median Household Income,2014,"53,194","Census Tract 5730.03, Los Angeles County, California",573003,Long Beach,1400000US06037573003,"(33.7935335, -118.202413)",Median_Household_Income_2014_1400000US06037573003,01/01/2014
Employment & Income,Income,Median Household Income,2012,"34,054","Census Tract 1064.07, Los Angeles County, California",106407,Sylmar,1400000US06037106407,"(34.3105765, -118.4365505)",Median_Household_Income_2012_1400000US06037106407,01/01/2012
Employment & Income,Income,Median Household Income,2013,"55,625","Census Tract 6039, Los Angeles County, California",603900,Lawndale,1400000US06037603900,"(33.8948405, -118.360618)",Median_Household_Income_2013_1400000US06037603900,01/01/2013
Employment & Income,Income,Median Household Income,2012,"56,676","Census Tract 1314, Los Angeles County, California",131400,Reseda,1400000US06037131400,"(34.214622, -118.531704)",Median_Household_Income_2012_1400000US06037131400,01/01/2012
Employment & Income,Income,Median Household Income,2013,"89,884","Census Tract 2656.02, Los Angeles County, California",265602,Westwood,1400000US06037265602,"(34.060621, -118.434347)",Median_Household_Income_2013_1400000US06037265602,01/01/2013
Employment & Income,Income,Median Household Income,2014,"41,351","Census Tract 2181.10, Los Angeles County, California",218110,Arlington Heights,1400000US06037218110,"(34.044154, -118.3286425)",Median_Household_Income_2014_1400000US06037218110,01/01/2014
Employment & Income,Income,Median Household Income,2013,"29,967","Census Tract 5754.02, Los Angeles County, California",575402,Long Beach,1400000US06037575402,"(33.786223, -118.1915435)",Median_Household_Income_2013_1400000US06037575402,01/01/2013
Employment & Income,Income,Median Household Income,2013,"62,083","Census Tract 4087.05, Los Angeles County, California",408705,Rowland Heights,1400000US06037408705,"(33.981461, -117.8780945)",Median_Household_Income_2013_1400000US06037408705,01/01/2013
Employment & Income,Income,Median Household Income,2015,"117,067","Census Tract 9108.10, Los Angeles County, California",910810,Castaic Canyons,1400000US06037910810,"(34.45705, -118.360889)",Median_Household_Income_2015_1400000US06037910810,01/01/2015
Employment & Income,Income,Median Household Income,2011,"55,588","Census Tract 6509.01, Los Angeles County, California",650901,Torrance,1400000US06037650901,"(33.8351275, -118.318833)",Median_Household_Income_2011_1400000US06037650901,01/01/2011
Employment & Income,Income,Median Household Income,2013,"29,659","Census Tract 1999, Los Angeles County, California",199900,Lincoln Heights,1400000US06037199900,"(34.0639545, -118.2104575)",Median_Household_Income_2013_1400000US06037199900,01/01/2013
Employment & Income,Income,Median Household Income,2012,"61,466","Census Tract 5707.01, Los Angeles County, California",570701,Lakewood,1400000US06037570701,"(33.853702, -118.151119)",Median_Household_Income_2012_1400000US06037570701,01/01/2012
Employment & Income,Income,Median Household Income,2016,"55,238","Census Tract 5731, Los Angeles County, California",573100,Long Beach,1400000US06037573100,"(33.8007525, -118.197379)",Median_Household_Income_2016_1400000US06037573100,01/01/2016
Employment & Income,Income,Median Household Income,2014,"59,583","Census Tract 5302.02, Los Angeles County, California",530202,Montebello,1400000US06037530202,"(34.0246365, -118.1367445)",Median_Household_Income_2014_1400000US06037530202,01/01/2014
Employment & Income,Income,Median Household Income,2015,"62,009","Census Tract 1395.02, Los Angeles County, California",139502,Encino,1400000US06037139502,"(34.164742, -118.5254075)",Median_Household_Income_2015_1400000US06037139502,01/01/2015
Employment & Income,Income,Median Household Income,2012,"23,810","Census Tract 2431, Los Angeles County, California",243100,Watts,1400000US06037243100,"(33.933448, -118.234588)",Median_Household_Income_2012_1400000US06037243100,01/01/2012
Employment & Income,Income,Median Household Income,2014,"96,667","Census Tract 4086.27, Los Angeles County, California",408627,Rowland Heights,1400000US06037408627,"(33.9754885, -117.925286)",Median_Household_Income_2014_1400000US06037408627,01/01/2014
Employment & Income,Income,Median Household Income,2012,"79,394","Census Tract 1861, Los Angeles County, California",186100,Glassell Park,1400000US06037186100,"(34.1284265, -118.2296325)",Median_Household_Income_2012_1400000US06037186100,01/01/2012
Employment & Income,Income,Median Household Income,2010,"64,338","Census Tract 1330, Los Angeles County, California",133000,Reseda,1400000US06037133000,"(34.1944835, -118.557871)",Median_Household_Income_2010_1400000US06037133000,01/01/2010
Employment & Income,Income,Median Household Income,2011,"72,321","Census Tract 3006, Los Angeles County, California",300600,Glendale,1400000US06037300600,"(34.2067165, -118.2368375)",Median_Household_Income_2011_1400000US06037300600,01/01/2011
Employment & Income,Income,Median Household Income,2014,"33,006","Census Tract 5352, Los Angeles County, California",535200,Florence-Firestone,1400000US06037535200,"(33.949899, -118.24958)",Median_Household_Income_2014_1400000US06037535200,01/01/2014
Employment & Income,Income,Median Household Income,2015,"122,895","Census Tract 1112.04, Los Angeles County, California",111204,Porter Ranch,1400000US06037111204,"(34.2620495, -118.5490485)",Median_Household_Income_2015_1400000US06037111204,01/01/2015
Employment & Income,Income,Median Household Income,2014,"192,727","Census Tract 6209.01, Los Angeles County, California",620901,Manhattan Beach,1400000US06037620901,"(33.882237, -118.4018225)",Median_Household_Income_2014_1400000US06037620901,01/01/2014
Employment & Income,Income,Median Household Income,2016,"140,417","Census Tract 8003.24, Los Angeles County, California",800324,Agoura Hills,1400000US06037800324,"(34.150914, -118.780558)",Median_Household_Income_2016_1400000US06037800324,01/01/2016
Employment & Income,Income,Median Household Income,2010,"72,122","Census Tract 1134.01, Los Angeles County, California",113401,Winnetka,1400000US06037113401,"(34.2279845, -118.562301)",Median_Household_Income_2010_1400000US06037113401,01/01/2010
Employment & Income,Income,Median Household Income,2010,"31,659","Census Tract 2948.20, Los Angeles County, California",294820,Wilmington,1400000US06037294820,"(33.779804, -118.2655705)",Median_Household_Income_2010_1400000US06037294820,01/01/2010
Employment & Income,Income,Median Household Income,2012,"140,357","Census Tract 1417, Los Angeles County, California",141700,Sherman Oaks,1400000US06037141700,"(34.1379545, -118.4378355)",Median_Household_Income_2012_1400000US06037141700,01/01/2012
Employment & Income,Income,Median Household Income,2010,"64,435","Census Tract 3111, Los Angeles County, California",311100,Burbank,1400000US06037311100,"(34.1859125, -118.355053)",Median_Household_Income_2010_1400000US06037311100,01/01/2010
Employment & Income,Income,Median Household Income,2014,"32,324","Census Tract 4328.02, Los Angeles County, California",432802,El Monte,1400000US06037432802,"(34.07872, -118.0526435)",Median_Household_Income_2014_1400000US06037432802,01/01/2014
Employment & Income,Income,Median Household Income,2011,"38,194","Census Tract 4328.02, Los Angeles County, California",432802,El Monte,1400000US06037432802,"(34.07872, -118.0526435)",Median_Household_Income_2011_1400000US06037432802,01/01/2011
Employment & Income,Income,Median Household Income,2014,"77,813","Census Tract 1066.49, Los Angeles County, California",106649,Sylmar,1400000US06037106649,"(34.288747, -118.4611105)",Median_Household_Income_2014_1400000US06037106649,01/01/2014
Employment & Income,Income,Median Household Income,2011,"66,985","Census Tract 4057.02, Los Angeles County, California",405702,Covina,1400000US06037405702,"(34.092311, -117.9121105)",Median_Household_Income_2011_1400000US06037405702,01/01/2011
Employment & Income,Income,Median Household Income,2016,"101,083","Census Tract 5736.01, Los Angeles County, California",573601,Long Beach,1400000US06037573601,"(33.8256225, -118.1353035)",Median_Household_Income_2016_1400000US06037573601,01/01/2016
Employment & Income,Income,Median Household Income,2011,"44,049","Census Tract 2410.02, Los Angeles County, California",241002,Green Meadows,1400000US06037241002,"(33.925538, -118.2615615)",Median_Household_Income_2011_1400000US06037241002,01/01/2011
Employment & Income,Income,Median Household Income,2013,"66,614","Census Tract 4623.02, Los Angeles County, California",462302,Pasadena,1400000US06037462302,"(34.149181, -118.126882)",Median_Household_Income_2013_1400000US06037462302,01/01/2013
Employment & Income,Income,Median Household Income,2015,"39,052","Census Tract 1915, Los Angeles County, California",191500,East Hollywood,1400000US06037191500,"(34.0872185, -118.296096)",Median_Household_Income_2015_1400000US06037191500,01/01/2015
Employment & Income,Income,Median Household Income,2013,"48,300","Census Tract 4814.01, Los Angeles County, California",481401,San Gabriel,1400000US06037481401,"(34.0840215, -118.103956)",Median_Household_Income_2013_1400000US06037481401,01/01/2013
Employment & Income,Income,Median Household Income,2014,"43,271","Census Tract 6031.02, Los Angeles County, California",603102,Gardena,1400000US06037603102,"(33.877144, -118.295371)",Median_Household_Income_2014_1400000US06037603102,01/01/2014
Employment & Income,Income,Median Household Income,2014,"35,949","Census Tract 5351.01, Los Angeles County, California",535101,Florence-Firestone,1400000US06037535101,"(33.964088, -118.24764)",Median_Household_Income_2014_1400000US06037535101,01/01/2014
Employment & Income,Income,Median Household Income,2012,"41,105","Census Tract 1345.21, Los Angeles County, California",134521,Canoga Park,1400000US06037134521,"(34.2046645, -118.5952795)",Median_Household_Income_2012_1400000US06037134521,01/01/2012
Employment & Income,Income,Median Household Income,2013,"40,134","Census Tract 1892.01, Los Angeles County, California",189201,Los Feliz,1400000US06037189201,"(34.103583, -118.296163)",Median_Household_Income_2013_1400000US06037189201,01/01/2013
Employment & Income,Income,Median Household Income,2013,"89,978","Census Tract 4801.02, Los Angeles County, California",480102,East San Gabriel,1400000US06037480102,"(34.108457, -118.0841215)",Median_Household_Income_2013_1400000US06037480102,01/01/2013
Employment & Income,Income,Median Household Income,2012,"62,267","Census Tract 4009, Los Angeles County, California",400900,Glendora,1400000US06037400900,"(34.1360045, -117.876915)",Median_Household_Income_2012_1400000US06037400900,01/01/2012
Employment & Income,Income,Median Household Income,2012,"31,583","Census Tract 2371.01, Los Angeles County, California",237101,Vermont-Slauson,1400000US06037237101,"(33.9855155, -118.291439)",Median_Household_Income_2012_1400000US06037237101,01/01/2012
Employment & Income,Income,Median Household Income,2012,"46,122","Census Tract 1210.20, Los Angeles County, California",121020,Sun Valley,1400000US06037121020,"(34.2110805, -118.402468)",Median_Household_Income_2012_1400000US06037121020,01/01/2012
Employment & Income,Income,Median Household Income,2014,"36,580","Census Tract 2911.10, Los Angeles County, California",291110,Harbor Gateway,1400000US06037291110,"(33.920071, -118.2864)",Median_Household_Income_2014_1400000US06037291110,01/01/2014
Employment & Income,Income,Median Household Income,2013,"33,456","Census Tract 2037.10, Los Angeles County, California",203710,Boyle Heights,1400000US06037203710,"(34.04985, -118.2009955)",Median_Household_Income_2013_1400000US06037203710,01/01/2013
Employment & Income,Income,Median Household Income,2016,"95,744","Census Tract 9200.17, Los Angeles County, California",920017,Santa Clarita,1400000US06037920017,"(34.442725, -118.526151)",Median_Household_Income_2016_1400000US06037920017,01/01/2016
Employment & Income,Income,Median Household Income,2010,"69,000","Census Tract 1320.02, Los Angeles County, California",132002,Lake Balboa,1400000US06037132002,"(34.193829, -118.5098475)",Median_Household_Income_2010_1400000US06037132002,01/01/2010
Employment & Income,Income,Median Household Income,2015,"240,357","Census Tract 7006, Los Angeles County, California",700600,Beverly Hills,1400000US06037700600,"(34.0920565, -118.40138)",Median_Household_Income_2015_1400000US06037700600,01/01/2015
Employment & Income,Income,Median Household Income,2016,"26,599","Census Tract 5758.01, Los Angeles County, California",575801,Long Beach,1400000US06037575801,"(33.7789725, -118.202434)",Median_Household_Income_2016_1400000US06037575801,01/01/2016
Employment & Income,Income,Median Household Income,2015,"38,272","Census Tract 2378, Los Angeles County, California",237800,Vermont Knolls,1400000US06037237800,"(33.9709525, -118.298091)",Median_Household_Income_2015_1400000US06037237800,01/01/2015
Employment & Income,Income,Median Household Income,2014,"63,750","Census Tract 2751.01, Los Angeles County, California",275101,Del Rey,1400000US06037275101,"(33.99916, -118.4045585)",Median_Household_Income_2014_1400000US06037275101,01/01/2014
Employment & Income,Income,Median Household Income,2015,"28,226","Census Tract 2089.02, Los Angeles County, California",208902,Westlake,1400000US06037208902,"(34.0564435, -118.2723635)",Median_Household_Income_2015_1400000US06037208902,01/01/2015
Employment & Income,Income,Median Household Income,2013,"65,938","Census Tract 1312, Los Angeles County, California",131200,Lake Balboa,1400000US06037131200,"(34.2147545, -118.514238)",Median_Household_Income_2013_1400000US06037131200,01/01/2013
Employment & Income,Income,Median Household Income,2016,"38,209","Census Tract 5338.03, Los Angeles County, California",533803,Bell,1400000US06037533803,"(33.9748395, -118.1829185)",Median_Household_Income_2016_1400000US06037533803,01/01/2016
Employment & Income,Income,Median Household Income,2013,"35,850","Census Tract 6012.12, Los Angeles County, California",601212,Inglewood,1400000US06037601212,"(33.956087, -118.356869)",Median_Household_Income_2013_1400000US06037601212,01/01/2013
Employment & Income,Income,Median Household Income,2010,"57,228","Census Tract 5020.03, Los Angeles County, California",502003,Whittier,1400000US06037502003,"(33.963017, -118.0392825)",Median_Household_Income_2010_1400000US06037502003,01/01/2010
Employment & Income,Income,Median Household Income,2016,"86,667","Census Tract 8003.28, Los Angeles County, California",800328,Calabasas,1400000US06037800328,"(34.1532245, -118.716794)",Median_Household_Income_2016_1400000US06037800328,01/01/2016
Employment & Income,Income,Median Household Income,2016,"68,750","Census Tract 9301.01, Los Angeles County, California",930101,Angeles Crest,1400000US06037930101,"(34.2419535, -118.119012)",Median_Household_Income_2016_1400000US06037930101,01/01/2016
Employment & Income,Income,Median Household Income,2015,"36,078","Census Tract 2946.10, Los Angeles County, California",294610,Wilmington,1400000US06037294610,"(33.787242, -118.2581725)",Median_Household_Income_2015_1400000US06037294610,01/01/2015
Employment & Income,Income,Median Household Income,2013,"61,351","Census Tract 5726, Los Angeles County, California",572600,Long Beach,1400000US06037572600,"(33.8081255, -118.213883)",Median_Household_Income_2013_1400000US06037572600,01/01/2013
Employment & Income,Income,Median Household Income,2012,"47,388","Census Tract 1200.10, Los Angeles County, California",120010,Panorama City,1400000US06037120010,"(34.2175015, -118.4629745)",Median_Household_Income_2012_1400000US06037120010,01/01/2012
Employment & Income,Income,Median Household Income,2010,"131,583","Census Tract 1941.02, Los Angeles County, California",194102,Hollywood Hills West,1400000US06037194102,"(34.116151, -118.365906)",Median_Household_Income_2010_1400000US06037194102,01/01/2010
Employment & Income,Income,Median Household Income,2010,"36,265","Census Tract 4619.01, Los Angeles County, California",461901,Pasadena,1400000US06037461901,"(34.1537915, -118.149329)",Median_Household_Income_2010_1400000US06037461901,01/01/2010
Employment & Income,Income,Median Household Income,2011,"77,083","Census Tract 4631.02, Los Angeles County, California",463102,Pasadena,1400000US06037463102,"(34.137723, -118.083735)",Median_Household_Income_2011_1400000US06037463102,01/01/2011
Employment & Income,Income,Median Household Income,2015,"74,155","Census Tract 8003.28, Los Angeles County, California",800328,Calabasas,1400000US06037800328,"(34.1532245, -118.716794)",Median_Household_Income_2015_1400000US06037800328,01/01/2015
Employment & Income,Income,Median Household Income,2016,"46,889","Census Tract 1212.10, Los Angeles County, California",121210,Pacoima,1400000US06037121210,"(34.2400435, -118.404715)",Median_Household_Income_2016_1400000US06037121210,01/01/2016
Employment & Income,Income,Median Household Income,2012,"34,590","Census Tract 1286.01, Los Angeles County, California",128601,Valley Glen,1400000US06037128601,"(34.1781255, -118.439977)",Median_Household_Income_2012_1400000US06037128601,01/01/2012
Employment & Income,Income,Median Household Income,2014,"45,682","Census Tract 2049.20, Los Angeles County, California",204920,Boyle Heights,1400000US06037204920,"(34.0181175, -118.197122)",Median_Household_Income_2014_1400000US06037204920,01/01/2014
Employment & Income,Income,Median Household Income,2013,"83,105","Census Tract 3002, Los Angeles County, California",300200,La Crescenta-Montrose,1400000US06037300200,"(34.228725, -118.237835)",Median_Household_Income_2013_1400000US06037300200,01/01/2013
Employment & Income,Income,Median Household Income,2010,"62,344","Census Tract 1111, Los Angeles County, California",111100,Granada Hills,1400000US06037111100,"(34.2683575, -118.4946735)",Median_Household_Income_2010_1400000US06037111100,01/01/2010
Employment & Income,Income,Median Household Income,2012,"23,542","Census Tract 2226, Los Angeles County, California",222600,Exposition Park,1400000US06037222600,"(34.0218365, -118.2958795)",Median_Household_Income_2012_1400000US06037222600,01/01/2012
Employment & Income,Income,Median Household Income,2015,"59,500","Census Tract 5401.01, Los Angeles County, California",540101,Lynwood,1400000US06037540101,"(33.929643, -118.190329)",Median_Household_Income_2015_1400000US06037540101,01/01/2015
Employment & Income,Income,Median Household Income,2013,"79,375","Census Tract 5701, Los Angeles County, California",570100,Long Beach,1400000US06037570100,"(33.864586, -118.153281)",Median_Household_Income_2013_1400000US06037570100,01/01/2013
Employment & Income,Income,Median Household Income,2013,"59,861","Census Tract 4038.02, Los Angeles County, California",403802,Charter Oak,1400000US06037403802,"(34.103074, -117.8463645)",Median_Household_Income_2013_1400000US06037403802,01/01/2013
Employment & Income,Income,Median Household Income,2016,"81,442","Census Tract 5743, Los Angeles County, California",574300,Long Beach,1400000US06037574300,"(33.799618, -118.116615)",Median_Household_Income_2016_1400000US06037574300,01/01/2016
Employment & Income,Income,Median Household Income,2014,"39,712","Census Tract 4087.04, Los Angeles County, California",408704,Rowland Heights,1400000US06037408704,"(33.9807035, -117.8942965)",Median_Household_Income_2014_1400000US06037408704,01/01/2014
Employment & Income,Income,Median Household Income,2013,"79,675","Census Tract 6508, Los Angeles County, California",650800,Torrance,1400000US06037650800,"(33.8266215, -118.3366605)",Median_Household_Income_2013_1400000US06037650800,01/01/2013
Employment & Income,Income,Median Household Income,2012,"83,729","Census Tract 4305.02, Los Angeles County, California",430502,Sierra Madre,1400000US06037430502,"(34.161851, -118.0532625)",Median_Household_Income_2012_1400000US06037430502,01/01/2012
Employment & Income,Income,Median Household Income,2015,"33,056","Census Tract 1912.01, Los Angeles County, California",191201,East Hollywood,1400000US06037191201,"(34.0985005, -118.296143)",Median_Household_Income_2015_1400000US06037191201,01/01/2015
Employment & Income,Income,Median Household Income,2013,"110,417","Census Tract 2627.04, Los Angeles County, California",262704,Pacific Palisades,1400000US06037262704,"(34.0424942, -118.5425851)",Median_Household_Income_2013_1400000US06037262704,01/01/2013
Employment & Income,Income,Median Household Income,2011,"98,625","Census Tract 5545.16, Los Angeles County, California",554516,Cerritos,1400000US06037554516,"(33.85597, -118.067815)",Median_Household_Income_2011_1400000US06037554516,01/01/2011
Employment & Income,Income,Median Household Income,2016,"83,068","Census Tract 3114, Los Angeles County, California",311400,Burbank,1400000US06037311400,"(34.162038, -118.34958)",Median_Household_Income_2016_1400000US06037311400,01/01/2016
Employment & Income,Income,Median Household Income,2011,"29,000","Census Tract 2212.10, Los Angeles County, California",221210,Harvard Heights,1400000US06037221210,"(34.04359, -118.3026265)",Median_Household_Income_2011_1400000US06037221210,01/01/2011
Employment & Income,Income,Median Household Income,2011,"49,420","Census Tract 2172, Los Angeles County, California",217200,Mid-Wilshire,1400000US06037217200,"(34.049375, -118.3418365)",Median_Household_Income_2011_1400000US06037217200,01/01/2011
Employment & Income,Income,Median Household Income,2016,"42,518","Census Tract 2291, Los Angeles County, California",229100,Central-Alameda,1400000US06037229100,"(33.992164, -118.2520985)",Median_Household_Income_2016_1400000US06037229100,01/01/2016
Employment & Income,Income,Median Household Income,2014,"73,333","Census Tract 4037.21, Los Angeles County, California",403721,Covina,1400000US06037403721,"(34.0957595, -117.8769905)",Median_Household_Income_2014_1400000US06037403721,01/01/2014
Employment & Income,Income,Median Household Income,2011,"122,102","Census Tract 4002.04, Los Angeles County, California",400204,La Verne,1400000US06037400204,"(34.132631, -117.7580945)",Median_Household_Income_2011_1400000US06037400204,01/01/2011
Employment & Income,Income,Median Household Income,2012,"77,766","Census Tract 5437.02, Los Angeles County, California",543702,Carson,1400000US06037543702,"(33.8135545, -118.2695935)",Median_Household_Income_2012_1400000US06037543702,01/01/2012
Employment & Income,Income,Median Household Income,2010,"81,481","Census Tract 6502, Los Angeles County, California",650200,Torrance,1400000US06037650200,"(33.867113, -118.32676)",Median_Household_Income_2010_1400000US06037650200,01/01/2010
